dataset_label,nct_id,brief_title,lead_sponsor_class,primary_purpose,intervention_types,enrollment,arm_group_count,location_count,country_count,countries,africa_countries,has_africa_site,start_date,primary_completion_date,results_first_post_date,trial_duration_days,results_reporting_lag_days,registration_lead_days,prospectively_registered,has_results_section,has_publication_reference,has_result_reference,pmids,result_pmids,publication_lag_days,speed_score,frugality_score,dissemination_score,overall_efficiency_score
global,NCT00367380,Evaluation of Reproducibility of a Sporozoite Challenge Model for Plasmodium Vivax in Human Volunteers,OTHER,BASIC_SCIENCE,OTHER,18,3,1,1,Colombia,,False,2006-12-01,2006-12-01,2014-06-03,0,2741,104,True,True,True,False,10444880|10470698|10715684|11056757|11425182|11508397|11716100|11741694|11816444|11930326|12055810|12058647|120773|12144291|12171615|12197121|12234533|12323000|12435447|12476490|12731057|12934936|13356045|1376347|14506215|14579464|14582335|14726463|15283866|15306710|15331843|15603885|15639737|16291760|16291762|16291763|16291764|16291765|1688828|1704402|1735093|1951863|20243883|2094578|2094597|2403931|2448793|2491691|320027|3511753|4590095|4993529|7475658|7565121|7565136|7660433|7845714|7932927|808142|8357078|8376823|8479452|8842108|9086149|9093429|9149283|9192643|9245231|9797827,,,58.05,46.52,35.02,49.41
global,NCT02488980,An Evaluation of Weekly Tafenoquine,FED,TREATMENT,DRUG,306,3,0,0,,,False,2000-05-01,2000-10-01,2017-02-24,153,5990,-5532,False,True,True,False,28495354,,,45.28,69.72,22.64,49.31
global,NCT00984256,Weekly Dosing of Malarone ® for Prevention of Malaria,FED,PREVENTION,DRUG | OTHER,35,2,1,1,United States,,False,2009-09-01,2010-04-01,2013-11-25,212,1334,-23,False,True,True,True,22052893,22052893,654,54.31,50.55,35.16,49.16
africa,NCT02699099,"Immunogenicity and Safety Study of GSK Biologicals' Candidate Malaria Vaccine Given at 6, 7.5 and 9 Months of Age in Co-administration With Measles, Rubella and Yellow Fever (YF) Vaccines Followed by a Booster of the Malaria Vaccine.",INDUSTRY,PREVENTION,BIOLOGICAL | DIETARY_SUPPLEMENT,699,3,2,1,Ghana,Ghana,True,2017-05-10,2018-03-14,2019-08-29,308,533,442,True,True,False,False,,,,69.44,25.97,40.72,48.48
global,NCT00358332,Phase I Pediatric FMP2.1/AS02A Trial in Mali,FED,PREVENTION,BIOLOGICAL,100,3,1,1,Mali,Mali,True,2006-11-01,2007-12-01,2009-03-04,395,459,97,True,True,True,True,20140214,20140214,796,56.74,40.0,42.37,48.01
africa,NCT00358332,Phase I Pediatric FMP2.1/AS02A Trial in Mali,FED,PREVENTION,BIOLOGICAL,100,3,1,1,Mali,Mali,True,2006-11-01,2007-12-01,2009-03-04,395,459,97,True,True,True,True,20140214,20140214,796,56.74,40.0,42.37,48.01
global,NCT00460525,Phase II AMA-1 Malaria Vaccine FMP2.1/AS02A Trial in Mali,FED,PREVENTION,BIOLOGICAL,400,2,1,1,Mali,Mali,True,2007-05-01,2009-07-01,2010-08-10,792,405,19,True,True,True,True,12011004|17442466|21916638|24260195|27087149|28282396,12011004|17442466,,57.22,37.91,42.61,47.54
africa,NCT00460525,Phase II AMA-1 Malaria Vaccine FMP2.1/AS02A Trial in Mali,FED,PREVENTION,BIOLOGICAL,400,2,1,1,Mali,Mali,True,2007-05-01,2009-07-01,2010-08-10,792,405,19,True,True,True,True,12011004|17442466|21916638|24260195|27087149|28282396,12011004|17442466,,57.22,37.91,42.61,47.54
global,NCT04329104,Safety and Efficacy of CIS43LS Anti-malaria mAb in Mali,NIH,PREVENTION,BIOLOGICAL | OTHER,348,6,2,1,Mali,Mali,True,2021-02-15,2022-01-26,2024-05-02,345,827,322,True,True,True,True,36317783|40461818,36317783,295,65.87,24.16,46.94,47.49
africa,NCT04329104,Safety and Efficacy of CIS43LS Anti-malaria mAb in Mali,NIH,PREVENTION,BIOLOGICAL | OTHER,348,6,2,1,Mali,Mali,True,2021-02-15,2022-01-26,2024-05-02,345,827,322,True,True,True,True,36317783|40461818,36317783,295,65.87,24.16,46.94,47.49
